DIST	Incumbent	Biden 2020	Trump 2020	Harris 2024	Trump 2024	2026 PVI	2026 Raw PVI	2026 PVI Rank	2025 PVI	2025 Raw PVI	2025 PVI Rank	Raw PVI Shift
TX-26	Brandon Gill (R)	142670	208544	144950	237089	R+11	-11.39356463	343	R+11	-11.25561	326	-0.1
TX-27	Michael Cloud (R)	124288	177080	125739	194368	R+10	-10.23437269	314	R+14	-14.06675	353	3.8
TX-28	Henry Cuellar (D)	112597	92662	88409	109042	R+3	-2.709533799	221	R+2	-1.87692	227	-0.8
TX-29	Sylvia Garcia (D)	139870	54929	116000	61311	D+17	17.01196561	77	D+12	12.399399	107	4.6
TX-30	OPEN (Crockett) (D)	208563	56390	177406	62648	D+25	25.10123062	32	D+25	25.016819	31	0.1
TX-31	John Carter (R)	127209	183712	134712	211328	R+11	-10.57931362	324	R+11	-11.42988	331	0.9
TX-32	OPEN (Johnson) (D)	142066	174362	129764	187174	R+8	-8.073454321	283	D+13	13.321812	95	-21.4
TX-33	OPEN (Veasey) (D)	163018	60823	136366	68170	D+18	18.20515645	67	D+19	19.279583	60	-1.1
TX-34	Vicente Gonzalez (D)	123605	116464	106947	131303	R+3	-3.466676319	225	EVEN	0.280035	209	-3.7
TX-35	OPEN (Casar) (D)	141507	147047	133334	164829	R+4	-4.206038393	231	D+19	18.591138	66	-22.8
TX-36	Brian Babin (R)	128113	186757	114917	192668	R+12	-11.81223099	350	R+18	-17.94751	389	6.1
TX-37	Greg Casar (D)	280916	62202	252342	67678	D+30	29.60192742	16	D+26	25.579922	28	4
TX-38	OPEN (Hunt) (R)	142235	205122	136854	210920	R+10	-10.2544085	316	R+10	-10.20098	308	-0.1
UT-01	OPEN (Owens) (R)	214978	127378	197553	120241	D+12	12.31639763	100	R+10	-10.31345	311	22.6
UT-02	Blake Moore (R)	119335	230690	125175	231962	R+15	-15.19441746	376	R+10	-10.04297	305	-5.2
UT-03	Celeste Maloy (R)	104465	257824	108346	267996	R+21	-21.20430994	414	R+10	-9.99608	304	-11.2
UT-04	Mike Kennedy (R)	121504	249247	131149	262883	R+17	-16.84893465	389	R+14	-13.69814	349	-3.2
VT-AL	Becca Balint (D)	242820	112704	235791	119395	D+17	16.85879172	78	D+17	16.858792	83	0
VA-01	Rob Wittman (R)	210910	241632	226374	250979	R+3	-2.786438499	222	R+3	-2.78644	234	0
VA-02	Jen Kiggans (R)	200500	193506	203102	204198	EVEN	0.116060733	204	EVEN	0.116061	210	0
VA-03	Bobby Scott (D)	231881	101739	213201	102279	D+18	18.05612191	69	D+18	18.056122	73	0
VA-04	Jennifer McClellan (D)	264440	123565	251681	125922	D+17	17.02273014	76	D+17	17.02273	82	0
VA-05	John McGuire (R)	195850	231738	191731	246090	R+6	-5.709985829	250	R+6	-5.70999	257	0
VA-06	Ben Cline (R)	151506	239665	154364	252677	R+12	-11.87947931	351	R+12	-11.87948	337	0
VA-07	Eugene Vindman (D)	204640	178346	203448	192064	D+2	1.932632733	196	D+2	1.932633	199	0
